project                 , domain      , t0          , ts         , o0       , ohcov0                   , ohcov1                , dyncov                   , ch      , vars , s1 , s2                     , s3                     , s4                     , s5                     , t1         , o1         , t2         , o2         , t3         , o3         , t4         , o4         , t5         , o5
gemm                    , Polybench   , 7.877178    , 7.733894   , 0.000886 , 0.011247682863076091     , 0.750896814927618165  , 98.192068044201510051    , 0       , 1    , 1  , 1.4719389342127556     , 1.9427254675341345     , 2.398710798498667      , 2.8205772329742648     , 14.136696  , 0.106152   , 9.639668   , 0.107653   , 7.328318   , 0.106225   , 5.95604    , 0.106838   , 5.071693   , 0.097341
doitgen                 , Polybench   , 4.828151    , 4.707217   , 0.000915 , 0.018951354255490352     , 6.713884337354061878  , 97.513711780406012882    , 0       , 1    , 1  , 1.4479700220412029     , 1.8366156518518039     , 5.9237713139418255     , 2.6943626482185816     , 5.166145   , 0.346849   , 3.650897   , 0.322585   , 2.932806   , 0.308797   , 1.102533   , 0.288981   , 2.079129   , 0.29047
jacobi-1d               , Polybench   , 0.012427    , 0.010776   , 0.001358 , 10.927818459805262734    , 78.167252872074370037 , 97.352967747764025657    , 0       , 1    , 1  , 0.99790509153839147463 , 0.99185225420966865834 , 0.98929974265203846675 , 1.00009128251939753537 , 0.100363   , 0.078451   , 0.0964     , 0.074442   , 0.100589   , 0.078497   , 0.098949   , 0.0768     , 0.100403   , 0.078493
deriche                 , Polybench   , 0.845637    , 0.702217   , 0.001585 , 0.187432669100335014     , 42.597902684851163253 , 83.195940534469440271    , 0       , 2    , 1  , 1.0619365265476209     , 1.0833157329862114     , 1.0755839145464291     , 1.0816233872425398     , 1.751382   , 0.746052   , 1.654215   , 0.70752    , 1.628438   , 0.700426   , 1.623092   , 0.688409   , 1.615794   , 0.68633
bicg                    , Polybench   , 0.047932    , 0.025108   , 0.000747 , 1.558457815238254193     , 55.544764556620932791 , 53.211825792094945428    , 0       , 1    , 1  , 1.07114934599412950263 , 1.01823301744866338352 , 1.00862288567352761361 , 1.03934847947920358048 , 0.178132   , 0.098943   , 0.171476   , 0.097547   , 0.175956   , 0.098185   , 0.172146   , 0.093634   , 0.172466   , 0.096275
gemver                  , Polybench   , 0.232029    , 0.088642   , 0.001093 , 0.471061806929306251     , 29.821246354520607477 , 38.3837946444036443      , 0       , 1    , 1  , 1.0368072865523579     , 1.116087218717603      , 1.486333694279011      , 0.98753556022530718939 , 0.469417   , 0.139986   , 0.466556   , 0.14882    , 0.444147   , 0.148981   , 0.310272   , 0.088632   , 0.483913   , 0.150324
mvt                     , Polybench   , 0.216845    , 0.073462   , 0.000869 , 0.400747077405520072     , 60.551753698804262678 , 34.013964514575693596    , 0       , 1    , 1  , 0.82943315308595935111 , 0.99836034912718204489 , 1.0894044015102555     , 0.99620521689362787486 , 0.405942   , 0.245805   , 0.720066   , 0.526998   , 0.388014   , 0.227614   , 0.392948   , 0.245953   , 0.55943    , 0.398683
atax                    , Polybench   , 0.028647    , 0.006232   , 0.000777 , 2.712325897999790554     , 84.84049130327260737  , 22.360961607463222103    , 0       , 1    , 1  , 0.76252813647672076768 , 1.2928160149973219     , 0.84845222664059582134 , 0.87932329971083130308 , 0.254751   , 0.216132   , 0.402083   , 0.351437   , 0.293537   , 0.263665   , 0.267667   , 0.22215    , 0.297274   , 0.253355
gesummv                 , Polybench   , 0.168226    , 0.028651   , 0.000886 , 0.526672452534091044     , 56.264989120856871541 , 17.121429425122505079    , 0       , 1    , 1  , 0.92740004353820477469 , 1.0796924939808231     , 1.0888527592988335     , 1.0753772367756773     , 0.350671   , 0.197305   , 0.462203   , 0.296831   , 0.339464   , 0.197418   , 0.326514   , 0.185663   , 0.386454   , 0.243838
trisolv                 , Polybench   , 0.106153    , 0.012922   , 0.000963 , 0.907181144197526212     , 44.503801767902184014 , 12.284437684190512406    , 0       , 1    , 1  , 0.9281913468237744141  , 0.94827329969885408111 , 0.94753214271757395756 , 1.0147314852015535     , 0.218451   , 0.097219   , 0.227173   , 0.096562   , 0.224768   , 0.096923   , 0.225143   , 0.097198   , 0.216762   , 0.09729
gramschmidt             , Polybench   , 35.525683   , 0.040051   , 0.011239 , 0.031636267204208291     , 0.602889267756218002  , 0.112773833654836325     , 2599    , 1    , 1  , 1.0038567114973011     , 1.0006350491442008     , 0.99336939414558268843 , 1.0230268847177358     , 36.229041  , 0.218421   , 36.088959  , 0.216688   , 36.205484  , 0.217718   , 36.462109  , 0.211123   , 35.417803  , 0.217731
